País,Estado,Sitio Estadíos,Estadio,Años,Pre-Post,Salida,COORDENADAS N,Coordenadas W,Altitud,GRUPO,ESPECIE,Fecha
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,6,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Phrynohyas venulosa,2/10/11
México,Jalisco,GargoyoBM,BM,BM,Pre,6,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Smilisca baudini,2/10/11
México,Jalisco,GargoyoBM,BM,BM,Pre,7,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,7/12/11
México,Jalisco,GargoyoBM,BM,BM,Pre,7,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,7/12/11
México,Jalisco,GargoyoBM,BM,BM,Pre,7,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,7/12/11
México,Jalisco,GargoyoBM,BM,BM,Post,8,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,4/12/12
México,Jalisco,GargoyoBM,BM,BM,Post,8,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Hyla smaragdina,4/12/12
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,hyla smaragdina,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,hyla smaragdina,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,hyla smaragdina,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,hyla smaragdina,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,hyla smaragdina,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Dendropsophus sartori,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,10,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,3/15/13
México,Jalisco,GargoyoBM,BM,BM,Post,11,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Dendropsophus sartori,5/10/13
México,Jalisco,GargoyoBM,BM,BM,Post,12,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,7/19/13
México,Jalisco,GargoyoBM,BM,BM,Post,12,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,7/19/13
México,Jalisco,GargoyoBM,BM,BM,Post,13,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Hyla smaragdina,10/17/13
México,Jalisco,GargoyoBM,BM,BM,Post,13,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,
México,Jalisco,GargoyoBM,BM,BM,Post,13,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,
México,Jalisco,GargoyoBM,BM,BM,Post,13,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,
México,Jalisco,GargoyoBM,BM,BM,Post,13,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,
México,Jalisco,Ranchitos0-0,0-0,0,Pre,1,"19°36'51.12""N","105°1'17.62""W",143,ANFIBIO,Incilius marmoreus,8/3/09
México,Jalisco,Ranchitos0-0,0-0,0,Pre,1,"19°36'51.12""N","105°1'17.62""W",143,ANFIBIO,Incilius marmoreus,8/3/09
